AT,V,AP,RH,PE
16,51,1014,99,456
12,39,1012,80,476
27,73,1009,89,431
14,43,1013,73,465
27,71,1010,75,443
24,58,1013,66,445
13,40,1013,73,473
12,40,1011,83,473
10,39,1015,90,479
4,40,1012,77,494
25,64,1010,68,440
21,47,1009,72,448
23,69,1007,77,447
11,42,1013,90,476
26,76,1017,69,442
25,52,1006,64,450
26,71,1008,90,434
18,48,1017,87,452
14,40,1013,70,473
31,72,1009,73,431
18,39,1020,67,454
18,45,1016,67,454
24,64,1012,81,442
12,41,1016,85,475
27,69,1005,40,437
22,60,1019,85,447
31,69,1006,52,437
10,41,1018,98,466
13,41,1014,85,472
31,74,1011,40,432
9,36,1020,68,477
25,78,1008,81,439
21,70,1009,92,443
25,64,1010,65,438
18,52,1007,100,450
31,65,1012,37,437
30,57,1007,43,436
24,47,1007,49,447
29,53,1006,46,437
15,43,1028,70,466
32,76,1007,72,441
8,36,1013,88,482
22,61,1006,88,443
10,42,1017,98,464
12,45,1014,85,471
21,65,1017,63,452
17,49,1022,84,459
18,59,1016,89,450
30,77,1002,59,438
28,57,1006,65,446
29,71,1003,58,443
11,38,1014,75,473
12,41,1017,100,474
24,65,1014,64,445
14,45,1014,68,466
27,60,1006,72,440
30,69,1008,72,437
19,44,1019,55,469
26,67,1005,76,433
28,54,1013,47,441
20,66,1015,79,450
27,59,1013,58,436
16,39,1016,77,463
29,76,1018,51,439
14,49,1012,84,461
20,54,1012,90,450
9,40,1001,100,474
10,41,1020,94,473
15,43,1028,70,466
31,69,1009,54,426
26,76,1017,72,440
7,40,1017,88,485
11,41,1023,82,474
14,44,1019,71,471
15,44,1021,79,460
25,60,1011,68,445
12,41,1016,55,465
22,67,1017,76,453
29,71,1002,67,437
12,42,1019,86,466
31,69,1009,57,426
22,63,1012,82,447
30,69,1005,71,434
4,35,1018,89,488
24,57,1014,70,441
27,48,1009,61,441
24,67,1004,85,437
8,43,1012,93,479
10,37,1013,75,476
16,26,1010,72,462
7,39,1014,77,488
5,40,1012,63,495
19,52,1006,99,451
28,75,1011,59,439
13,41,1016,95,467
31,60,1011,62,437
9,42,1029,90,481
14,41,1020,87,470
15,42,1021,61,470
29,71,1009,68,433
13,41,1020,83,465
10,41,1023,79,483
29,73,1012,69,431
13,43,1015,88,475
25,66,1011,51,438
10,40,1014,92,480
11,25,1009,100,471
25,50,1014,59,455
21,52,1012,46,455
23,60,1015,69,447
10,42,1015,97,464
24,64,1013,80,444
27,75,1016,77,436
14,50,1007,90,466
21,43,1011,61,448
20,65,1018,69,449
22,62,1011,54,447
18,51,1013,92,457
7,39,1011,90,484
28,62,1011,66,430
29,73,1012,67,430
14,44,1019,76,465
9,36,1016,73,481
14,39,1008,76,469
5,39,1017,73,486
19,48,1006,77,454
20,59,1016,70,449
21,42,1012,53,460
4,41,999,95,487
12,43,1026,80,475
14,41,1019,69,472
11,41,1006,98,475
11,38,1008,71,473
17,44,1012,77,456
26,71,1010,84,442
21,65,1016,72,453
21,58,1019,70,455
21,45,1014,69,462
27,51,1011,51,451
30,70,1010,64,438
18,62,1020,84,452
26,71,1009,79,433
10,41,1020,66,481
20,58,1014,83,452
27,57,1012,44,436
13,39,1023,62,469
24,68,1008,67,440
28,62,1012,64,438
14,41,1015,63,458
27,61,1012,45,452
34,74,1006,51,440
10,41,1024,88,471
14,42,1009,71,470
25,58,1015,61,449
9,40,1024,99,476
22,59,1018,73,445
21,40,1006,62,460
17,41,1001,71,461
30,73,1009,78,430
29,49,1004,60,438
15,39,1017,76,465
4,35,1017,86,489
18,40,1010,72,462
14,43,1008,89,472
8,38,1019,76,485
14,45,1023,84,466
16,37,1014,73,466
13,40,1010,93,472
8,38,1021,64,484
5,39,1011,69,495
27,76,1008,89,433
25,70,1010,92,438
6,41,1016,87,482
14,43,1016,54,467
17,58,1012,91,456
26,69,1007,86,436
21,58,1017,68,453
24,49,1018,75,441
17,51,1013,85,460
15,41,1006,83,466
20,63,1017,91,447
11,41,1019,87,469
27,69,1009,71,432
20,42,1011,60,464
23,60,1008,94,445
22,64,1013,48,455
21,70,1009,80,441
11,42,1015,96,478
20,50,1008,70,454
30,73,1012,63,427
11,41,1026,81,476
24,68,1005,70,445
16,38,1021,84,465
10,40,1021,89,479
28,72,1007,75,430
16,42,1006,79,455
32,80,1007,59,430
24,69,1013,60,441
30,74,1007,57,433
30,73,1012,61,430
16,44,1024,77,460
11,38,1013,76,474
28,74,1006,75,434
19,64,1010,68,444
29,68,1011,66,440
12,41,1022,55,475
32,71,1008,49,432
25,52,1005,62,448
19,62,1019,79,452
33,75,1016,32,431
25,57,1013,72,445
29,67,1006,57,436
25,61,1015,61,445
23,67,1018,84,438
32,68,1005,38,430
24,49,1003,61,441
11,40,1010,79,477
20,62,1020,76,451
27,72,1009,80,432
7,44,1020,70,483
29,71,1012,59,444
26,59,1011,70,444
7,39,1020,71,488
20,59,1016,71,450
15,40,1012,74,467
25,65,1010,41,446
20,63,1020,82,454
28,73,1001,86,432
13,44,1022,84,471
27,78,1009,79,433
24,65,1016,67,446
7,36,1025,78,486
24,64,1014,64,444
22,60,1018,71,453
14,43,1007,70,469
15,42,1024,84,464
10,37,1013,73,474
27,66,1014,52,442
29,64,1011,62,442
25,50,1017,63,454
29,68,1008,62,433
24,68,1005,59,440
15,43,1018,75,462
27,71,1008,68,435
26,60,1011,77,447
21,45,1006,73,445
14,42,1011,49,466
18,60,1010,86,453
20,45,1016,48,468
19,40,1009,63,459
19,58,1014,85,449
25,61,1018,59,442
19,47,1010,78,454
10,44,1021,91,471
5,43,1014,89,483
23,66,1015,63,453
22,50,1015,78,455
27,72,1008,76,428
12,40,1019,84,462
12,40,1013,60,477
20,57,1021,74,457
21,45,1013,48,452
10,38,1016,80,476
23,49,1006,77,440
12,42,1020,66,478
22,65,1014,52,445
8,39,1019,85,483
25,66,1011,68,437
6,40,1032,80,481
22,65,1007,76,441
13,45,1020,86,472
8,41,1024,97,477
15,39,1016,82,470
23,72,1011,91,434
19,45,1004,86,460
20,51,1007,93,445
24,59,1010,62,441
18,45,1009,74,453
19,59,1010,87,455
17,49,1015,70,458
15,39,1009,75,463
32,69,1009,48,441
6,41,1022,85,481
20,69,1011,84,446
6,39,1010,95,492
22,60,1017,64,451
23,71,1008,73,442
29,66,1014,51,444
7,37,1011,82,482
24,66,1011,65,440
24,58,1011,71,446
20,39,1014,59,464
22,61,1018,74,444
14,43,1032,71,469
9,41,1021,87,477
31,78,1015,66,432
10,38,1020,80,478
8,36,1017,63,480
5,46,1008,98,479
14,44,1022,69,463
14,40,1013,90,464
23,59,1013,84,446
19,60,1016,71,454
29,74,1015,48,433
11,40,1026,76,490
6,41,1021,89,491
11,45,1014,88,477
14,44,1015,65,471
19,55,1017,70,454
9,36,1015,62,439
16,50,1026,78,458
21,69,1011,85,446
15,42,1023,72,467
14,45,1022,86,471
15,47,1020,98,462
7,41,1020,81,487
16,37,1008,94,464
10,44,1011,98,473
21,59,1013,76,444
23,63,1013,68,445
15,36,1015,54,469
30,68,1008,44,433
26,59,1010,70,444
29,80,1008,65,436
24,66,1004,74,437
21,70,1011,90,443
12,41,1020,56,476
3,40,1011,80,485
30,67,1007,67,438
21,58,1017,73,453
27,78,1010,90,431
23,71,1008,82,440
11,42,1020,79,479
22,64,1013,93,445
10,41,1024,86,474
27,67,1007,69,438
14,40,1016,82,467
22,47,1008,77,447
9,40,1018,90,478
33,68,1010,42,441
12,45,1019,76,463
6,46,1011,96,482
10,41,1015,86,482
6,39,1005,60,485
18,68,1004,90,450
21,49,1021,56,454
26,70,1008,86,432
28,71,1012,53,435
29,54,1013,42,443
18,51,1012,86,456
28,60,1010,53,441
23,70,1006,84,437
23,71,1008,71,442
28,71,1001,81,431
11,45,1021,88,474
23,51,1009,70,448
9,40,1017,92,480
21,58,1017,81,454
28,68,1015,51,437
25,47,1015,64,453
26,67,1007,85,440
12,38,1014,81,469
31,72,1005,59,429
24,62,1009,69,441
19,45,1008,76,453
13,41,1027,70,476
20,69,1012,69,455
10,42,1033,73,478
27,75,1010,62,434
14,45,1025,84,470
23,70,1005,73,437
21,51,1009,92,448
22,75,1010,80,445
26,69,1002,90,428
28,78,1012,75,431
9,41,1014,70,485
25,71,1008,74,446
11,41,1022,62,477
14,53,1024,64,460
29,60,1010,59,438
18,49,1021,83,459
21,57,1007,77,446
16,43,1015,70,465
25,73,1008,84,436
31,69,1011,53,440
30,74,1008,85,433
17,43,1019,83,459
17,42,1008,73,466
27,65,1011,47,437
17,42,1013,68,463
26,65,1013,55,440
19,59,1013,69,451
5,39,1012,82,491
26,49,1004,58,439
17,62,1020,84,451
16,47,1016,89,458
10,40,1005,92,476
13,41,1016,81,473
14,41,1018,64,464
7,43,1018,92,485
11,41,1018,69,470
21,61,1018,79,446
6,46,1010,95,481
8,41,1022,96,476
25,69,1014,44,448
24,70,1011,76,435
28,73,1012,63,434
5,42,1005,81,486
24,47,1013,49,446
10,40,1021,92,482
29,73,1007,73,429
4,35,1018,87,487
7,41,1016,96,486
11,42,1022,94,475
27,73,1009,89,438
6,40,1008,87,486
10,41,1021,82,481
31,68,1005,47,430
30,72,1004,68,427
32,76,1007,73,432
8,40,1019,73,475
32,75,1003,53,431
5,41,1021,95,485
25,74,1015,80,433
6,39,1010,95,491
7,41,1020,81,487
11,42,1015,96,469
16,41,1002,86,464
10,37,1022,85,474
21,44,1008,73,450
24,59,1018,67,448
22,58,1013,88,448
11,41,1022,78,482
14,41,1024,76,464
29,70,1008,46,432
29,69,1009,56,431
19,45,1009,85,457
7,41,1027,85,479
24,70,1009,78,434
13,41,1011,89,475
11,39,1011,83,479
22,51,1013,86,450
8,42,1016,77,485
5,38,1016,73,487
13,40,1018,61,470
23,49,1003,78,443
20,51,1007,92,449
29,69,1010,59,435
10,40,1017,92,481
16,43,1012,39,466
19,57,1020,87,453
20,64,1013,79,450
22,49,1009,83,446
27,73,1009,90,431
23,71,1006,96,441
31,72,1010,50,430
22,49,1020,67,452
9,40,1009,91,482
12,40,1005,87,470
26,61,1013,71,446
14,45,1021,77,473
8,40,1012,84,481
24,57,1011,56,444
30,62,1010,37,437
22,58,1013,66,447
31,72,1000,70,431
8,41,1027,86,489
13,46,1009,86,463
20,58,1013,69,449
14,43,1017,83,464
22,49,1009,89,443
31,71,1008,52,430
24,57,1010,74,446
11,42,1000,97,472
10,40,1002,94,472
14,34,1018,66,469
24,67,1015,56,437
21,42,1010,63,464
26,51,1012,64,442
26,69,1014,57,437
19,42,1011,60,466
11,42,1020,71,477
33,70,1004,58,430
13,41,1019,72,467
27,71,1009,71,439
24,64,1011,84,443
21,69,1011,83,444
29,72,1011,68,437
9,36,1027,72,480
11,36,1017,62,469
14,41,1026,55,475
13,41,1022,80,466
28,72,1009,83,428
13,41,1015,73,472
28,72,1007,68,428
23,61,1006,85,441
26,50,1007,68,441
22,58,1015,79,451
23,68,1010,92,442
5,41,1004,91,486
17,45,1014,63,460
33,72,1010,58,435
30,62,1005,62,436
27,66,1013,64,444
21,44,1016,43,462
24,64,1015,82,441
14,43,1032,67,466
30,70,1010,54,439
18,44,1017,53,465
29,68,1013,43,439
24,62,1010,49,448
23,59,1014,56,453
26,74,1014,86,430
29,74,1006,65,431
24,70,1013,53,443
27,72,1010,65,430
27,72,1005,84,439
24,71,1008,82,436
18,65,1019,78,454
26,45,1010,56,443
30,62,1005,62,436
23,64,1015,70,449
10,42,1009,81,478
11,41,1020,80,479
13,43,1016,59,464
13,42,1018,97,460
33,79,1007,63,430
29,66,1014,54,449
24,49,1014,50,444
19,52,1005,100,450
7,39,1017,71,487
19,43,1009,69,453
19,53,1017,68,458
7,35,1020,76,484
22,65,1013,64,445
16,49,1006,89,450
8,38,1022,83,486
24,75,1013,74,443
16,43,1014,79,462
17,66,1014,90,455
27,71,1008,86,431
14,43,1007,73,468
29,77,999,77,431
33,74,1015,56,428
22,59,1016,75,450
23,59,1011,79,443
24,73,1007,73,438
25,66,1011,80,441
25,69,1013,72,441
9,42,1029,91,468
27,68,1006,68,435
20,60,1019,84,448
18,51,1011,90,460
28,58,1014,40,449
18,62,1009,66,453
24,59,1016,71,447
27,61,1013,70,436
6,41,1026,99,480
23,58,1015,81,448
24,62,1008,69,442
26,64,1013,43,451
18,40,1010,71,462
22,43,1010,58,449
17,42,1014,74,462
9,41,1023,76,480
34,75,1016,26,426
7,42,1032,84,485
23,69,1007,78,447
22,69,1014,76,440
24,59,1014,75,439
22,59,1014,66,447
13,46,1016,83,470
18,44,1017,79,456
18,40,1005,79,468
13,44,1019,86,469
10,40,1016,75,475
29,69,1010,67,426
15,41,1017,71,466
11,40,1005,86,460
18,62,1020,78,457
30,67,1018,38,435
8,44,1016,83,485
22,60,1009,94,438
29,70,1008,55,428
24,60,1018,63,446
30,70,1007,56,427
23,64,1009,95,442
13,40,1015,86,471
11,42,1017,94,480
12,42,1019,85,468
17,46,1009,98,456
19,63,1018,85,450
12,41,1021,97,477
14,40,1017,86,466
29,75,1006,60,443
22,67,1005,89,437
24,52,1006,74,450
26,61,1014,68,450
28,72,1011,71,431
24,57,1012,68,441
9,41,1026,86,485
30,73,1011,53,446
14,41,1016,66,472
16,44,1020,81,461
26,63,1012,65,446
17,46,1012,96,459
19,67,1013,82,449
26,73,1012,86,440
15,39,1014,81,469
26,74,1007,82,434
9,44,1015,82,483
30,72,1008,67,427
17,52,1022,81,442
21,70,1011,86,438
23,73,1012,90,439
30,72,1011,61,437
25,59,1017,57,446
30,68,1010,66,430
19,43,1009,70,455
22,71,1008,85,440
5,40,1019,66,495
13,41,1027,86,465
27,60,1013,63,448
17,45,1014,75,456
28,64,1013,46,442
14,40,1015,83,469
13,45,1018,88,474
16,41,1012,75,469
30,69,1008,62,437
28,70,1010,70,440
15,43,1015,82,461
12,41,1017,55,468
31,71,1007,55,432
26,44,1006,65,444
11,42,1005,63,474
13,41,1021,93,475
13,40,1017,83,474
16,59,1014,98,457
14,40,1013,91,465
10,38,1005,100,472
24,63,1013,76,444
23,59,1016,73,449
7,39,1016,70,488
14,44,1028,70,469
25,65,1016,53,443
25,68,1000,78,436
28,45,1009,49,445
27,69,1013,55,434
14,39,1017,79,467
16,44,1020,76,465
7,41,1022,84,488
12,42,1020,67,476
14,43,1017,82,464
12,40,1015,83,474
28,70,1008,72,434
3,41,998,99,490
12,38,1014,90,471
20,57,1011,88,453
9,42,1009,83,478
15,54,1017,72,463
25,57,1012,47,441
16,44,1016,69,466
20,61,1020,71,451
17,37,1014,71,466
12,43,1016,73,468
23,69,1012,76,436
25,49,1006,65,445
15,44,1022,83,462
18,40,1008,71,464
27,67,1008,61,435
7,41,1023,83,474
2,39,1028,70,490
14,41,1010,85,470
30,75,1003,69,435
10,40,1016,80,480
28,75,1010,60,441
13,40,1016,84,475
18,45,1021,71,457
12,41,1016,87,475
28,75,1010,57,436
16,51,1014,100,455
18,42,1015,57,468
13,45,1014,78,469
30,43,1012,64,433
26,64,1011,61,447
30,68,1015,35,434
20,62,1020,72,452
29,72,1006,70,441
31,71,1009,42,431
21,60,1011,79,451
27,67,1006,69,428
27,62,1011,71,437
29,74,1007,59,437
7,41,1011,96,484
14,44,1020,76,463
26,54,1013,48,445
16,50,1015,89,465
16,42,1017,75,461
19,50,1006,100,445
12,42,1013,65,471
11,41,1021,98,478
15,43,1010,83,465
15,44,1028,71,464
22,61,1011,92,447
11,40,1025,97,471
15,39,1015,62,469
26,66,1014,43,442
9,40,1026,80,492
29,76,1018,51,437
30,72,1011,64,436
22,58,1016,81,447
16,68,1004,100,450
19,53,1004,84,451
29,70,1009,56,441
23,66,1004,71,436
30,72,1010,54,434
22,61,1018,85,445
26,73,1008,91,433
24,63,1012,58,445
24,74,1011,84,440
4,35,1019,99,489
13,43,1013,87,469
37,69,1006,31,429
33,70,1007,45,436
11,41,1024,87,476
12,45,1019,85,468
28,69,1004,42,436
14,39,1015,77,471
5,40,1019,65,495
17,44,1019,61,457
26,70,1010,72,435
30,71,1001,67,431
8,43,1020,85,484
24,59,1011,81,444
22,59,1018,77,444
12,40,1017,92,471
27,77,1009,91,432
13,44,1007,84,470
14,41,1020,86,465
6,39,1011,94,490
24,52,1014,67,443
12,36,1019,58,473
22,61,1020,59,448
27,44,1011,47,440
24,72,1010,90,436
8,41,1023,91,476
20,67,1014,78,449
17,44,1019,64,466
29,60,1015,46,440
22,62,1008,93,446
12,38,1021,69,474
6,40,1022,85,490
23,66,1014,63,450
28,79,1011,70,433
29,75,1004,65,435
10,41,1020,85,482
23,62,1008,86,450
17,49,1021,72,462
23,64,1014,82,438
17,40,1009,81,464
24,67,1007,90,441
14,50,1007,89,464
24,74,1007,87,439
11,37,1022,82,473
14,45,1024,84,467
32,74,1015,64,431
8,38,1015,78,482
14,43,1016,86,464
11,41,1017,62,471
9,43,1011,88,477
15,44,1023,83,462
18,41,1011,61,462
8,42,1032,82,485
24,71,1004,90,436
24,73,1008,92,435
20,51,1009,93,448
15,54,1016,61,463
24,60,1017,75,445
28,67,1018,54,438
10,40,1012,89,473
17,43,1011,62,459
15,61,1020,79,457
17,41,1006,79,463
9,38,1017,72,480
24,52,1009,76,444
23,49,1014,49,449
9,42,1019,80,484
18,41,993,62,458
3,40,1011,81,489
10,41,1020,98,468
29,62,1012,63,441
27,43,1012,78,434
27,59,1014,58,437
17,45,1010,58,456
23,63,1013,78,447
14,42,1024,84,467
17,41,1001,71,461
10,41,1019,72,478
22,70,1011,80,441
17,43,1007,74,465
10,42,1014,93,480
10,44,1021,97,476
32,70,1013,56,432
10,38,1006,98,470
23,64,1010,72,444
31,68,1008,68,428
12,42,1013,85,475
19,60,1016,71,452
13,42,1020,75,473
19,59,1013,73,454
23,60,1017,67,452
12,43,1017,79,469
18,59,1016,85,453
17,40,1008,71,464
27,65,1000,68,431
14,41,1016,72,471
31,64,1014,51,438
24,59,1013,74,441
27,71,1009,88,438
16,40,1005,90,467
18,53,1013,82,458
18,50,1006,81,457
27,69,1011,79,430
32,74,1004,60,432
28,72,1006,81,428
23,71,1006,93,436
27,76,1017,75,433
24,64,1013,78,444
26,68,1011,71,432
10,44,1012,78,477
20,43,1011,65,450
27,59,1001,65,446
12,40,1021,85,475
25,64,1015,75,440
10,42,1010,82,484
21,69,1011,87,448
24,58,1012,71,446
22,60,1016,75,455
15,48,1006,92,461
13,54,1017,82,468
30,53,1006,42,436
14,42,1018,89,466
27,75,1011,63,439
11,40,1005,87,479
13,39,1008,93,467
24,70,1011,75,439
30,73,1007,66,426
9,38,1021,84,482
17,46,1010,97,456
26,76,1006,69,439
21,64,1014,81,446
18,66,1013,85,450
17,45,1008,57,453
25,70,1007,61,433
29,65,1013,51,441
24,64,1011,88,449
26,59,1017,52,442
24,49,1008,86,441
13,41,1022,79,467
13,42,1018,87,466
34,72,1009,44,432
11,45,1023,87,481
7,39,1025,73,482
13,40,1013,59,476
7,39,1011,93,490
30,73,1011,64,435
22,60,1017,70,451
26,69,1014,50,436
15,45,1023,82,465
27,49,1003,53,439
31,72,1006,53,426
11,40,1011,82,477
25,72,1011,84,432
31,64,1012,61,439
21,58,1016,87,448
24,65,1012,78,439
21,61,1019,61,451
22,57,1010,81,449
15,41,1000,81,464
16,44,1021,82,462
23,49,1008,89,443
33,73,1004,53,434
17,49,1018,93,462
26,68,1011,77,430
24,64,1011,87,442
29,79,1012,84,430
19,45,1017,72,462
23,59,1016,71,447
30,69,1006,41,442
10,38,1010,96,474
12,41,1017,81,476
18,42,1013,64,460
7,40,1012,96,485
28,78,1009,73,433
24,47,1013,55,450
15,51,1014,100,461
14,45,1024,94,467
30,80,1007,70,433
25,60,1006,73,436
22,68,1013,80,440
24,48,1013,60,448
7,39,1011,92,490
29,59,1011,52,442
18,41,1003,74,462
13,44,1017,84,470
19,67,1012,72,454
18,45,1025,70,458
25,64,1013,66,444
17,40,1004,84,467
12,40,1017,92,474
26,61,1013,76,435
9,41,1022,72,486
14,43,1010,75,466
12,42,1017,90,465
12,41,1025,72,478
28,76,1017,55,441
18,52,1007,100,453
18,39,1020,70,456
14,42,1021,71,462
13,42,1021,64,475
9,35,1027,83,481
13,43,1008,97,473
11,41,1017,85,480
10,44,1016,91,475
8,40,1020,78,475
33,66,1010,61,432
7,41,1021,90,477
19,68,1005,86,445
11,42,1020,75,478
9,40,1016,78,477
19,53,1017,65,459
21,45,1015,73,459
20,60,1019,88,446
17,43,1014,69,465
6,40,1012,87,444
9,40,1018,75,475
21,45,1007,74,450
25,79,1011,91,435
21,45,1017,57,462
19,45,1013,60,456
29,58,1014,34,449
24,49,1004,74,441
24,57,1011,64,443
23,62,1008,88,448
30,70,1007,70,438
32,44,1005,44,430
23,48,1014,62,449
9,37,1028,72,481
11,45,1016,80,479
13,40,1014,87,475
31,71,1010,47,431
33,66,1011,46,441
29,75,1010,55,435
25,72,1007,91,432
14,43,1017,62,468
22,57,1012,83,447
26,61,1008,69,446
17,42,1007,74,458
21,51,1013,78,455
9,42,1015,98,480
27,67,1018,64,436
32,73,1008,66,427
28,72,1007,71,435
10,40,1010,83,479
15,43,1008,94,468
22,45,1006,72,448
31,78,1010,66,432
18,45,1023,53,466
15,42,1013,84,471
17,44,1014,55,461
14,42,1018,92,464
11,45,1024,89,475
16,44,1015,59,470
12,41,1011,63,479
25,72,1004,83,430
26,59,1007,83,441
15,53,1024,61,459
27,74,1006,79,433
5,44,1018,79,486
31,70,1008,63,436
24,75,1008,82,438
19,58,1012,91,453
26,66,1009,85,442
13,40,1011,90,468
23,60,1011,91,437
11,40,1016,75,468
28,59,1012,60,442
15,41,1016,67,470
24,58,1016,71,449
26,58,1014,65,445
10,40,1018,76,480
19,50,1011,100,450
14,44,1025,84,464
19,64,1011,96,448
25,64,1013,80,440
31,70,1009,60,439
23,69,1013,78,441
26,61,1007,65,439
27,78,1012,78,433
30,67,1016,33,435
12,41,1016,76,469
18,53,1013,80,458
14,43,1032,70,469
24,48,1004,70,439
18,52,1003,100,450
22,53,1004,74,449
22,42,1013,71,460
27,65,1000,64,428
23,59,1018,70,451
15,39,1007,77,464
31,65,1002,45,426
32,69,1000,46,428
27,69,1013,51,436
21,70,1011,89,441
27,68,1011,63,433
33,74,1007,60,435
32,70,1005,74,432
27,69,1014,55,436
19,68,1005,77,446
13,41,1027,65,474
21,68,1006,57,445
32,68,1015,42,427
9,41,1012,90,479
7,40,1009,88,484
18,37,1012,67,471
9,40,1024,75,475
29,72,1007,65,427
21,70,1010,95,447
14,43,1031,68,467
22,60,1016,91,442
31,73,1000,74,430
11,41,1015,88,479
23,61,1018,78,448
30,67,1016,34,435
10,41,1017,77,479
10,40,1026,99,470
5,46,1007,99,482
17,42,1006,72,453
28,70,1009,61,433
17,48,1005,80,460
4,40,1012,84,492
12,40,1009,72,474
6,41,1016,86,483
8,36,1013,89,481
29,58,1014,41,444
24,61,1015,59,448
7,43,1019,86,486
25,62,1009,63,437
24,65,1007,69,438
13,41,1016,89,466
13,39,1017,82,474
25,66,1006,66,436
10,39,1023,76,484
11,45,1024,89,482
18,44,1012,80,465
25,70,1008,81,434
26,45,1007,55,446
27,67,1005,73,431
12,41,1016,87,477
15,39,1019,64,465
21,44,1011,62,448
24,50,1013,50,463
15,43,1016,55,470
22,48,1013,68,450
24,59,1017,58,441
10,39,1011,89,475
18,53,1016,66,460
30,72,1010,59,432
22,59,1016,87,443
13,40,1012,83,466
27,66,1005,61,440
16,42,1014,85,462
25,55,1016,68,452
30,74,1006,59,432
28,73,1011,63,438
16,39,1016,64,462
16,37,1007,92,463
10,41,1019,82,481
12,43,1014,88,477
9,36,1028,87,480
5,39,1010,95,491
23,61,1019,54,450
22,61,1018,84,442
27,65,1013,51,441
28,69,1005,69,436
15,42,1012,100,468
21,45,1009,78,457
13,41,1016,69,477
14,54,1017,68,463
20,44,1019,50,468
16,43,1013,81,463
12,39,1015,83,477
10,42,1017,86,476
14,38,1010,93,469
25,52,1015,68,447
18,49,1015,68,456
29,80,1011,89,432
14,43,1016,86,466
17,43,1018,76,460
13,46,1015,80,469
6,40,1020,65,494
9,44,1021,89,474
19,43,1012,70,451
12,42,1012,84,461
23,64,1017,53,447
10,41,1028,88,470
14,39,1009,82,470
12,41,1019,52,474
14,46,1008,89,459
15,42,1015,75,466
10,42,1033,69,476
29,74,1008,58,429
10,41,1020,82,480
33,68,1003,53,427
29,65,1011,51,443
13,48,1013,100,465
26,69,1009,88,435
7,41,1021,91,487
18,41,1002,66,460
15,42,1008,66,465
10,40,1021,91,479
8,40,1020,78,477
25,54,1013,58,442
15,45,1013,86,460
15,54,1016,65,463
23,65,1016,49,447
23,50,1016,64,458
25,64,1015,75,442
24,59,1017,61,446
30,65,1017,44,440
15,41,995,88,465
28,49,1005,36,442
19,44,1017,77,455
23,66,1004,77,438
25,59,1008,83,436
26,70,1008,70,445
20,58,1017,89,447
33,70,1014,42,426
14,39,1017,85,474
28,60,1016,49,442
7,39,1020,74,488
13,53,1026,65,465
10,38,1007,91,471
26,52,1014,60,454
19,53,1018,75,460
12,41,1018,79,471
12,38,1013,82,470
8,41,1024,85,486
14,38,1015,55,467
14,42,1022,63,472
12,45,1016,81,475
26,74,1009,85,437
26,60,1011,61,446
32,68,1010,42,436
22,45,1006,72,447
6,41,1016,85,481
31,74,1009,69,430
35,74,1007,45,435
12,41,1022,80,470
31,71,1008,50,430
28,59,1002,58,446
26,71,1010,73,445
25,61,1010,72,439
28,71,1011,60,429
30,75,1010,61,435
31,72,1010,50,430
13,40,1014,97,468
29,70,1009,79,433
29,58,1005,58,435
29,59,1016,53,436
17,41,1000,71,460
10,43,1011,86,479
13,43,1017,70,471
18,44,1016,76,462
15,45,1018,68,460
27,66,1014,39,436
23,70,1006,80,435
32,73,1003,55,435
20,47,1009,78,451
23,70,1008,82,442
27,70,1007,72,431
14,45,1014,89,462
26,59,1009,64,436
9,40,1012,83,483
30,75,1005,53,437
24,63,1020,70,448
26,65,1016,44,444
13,48,1017,84,464
26,58,1014,71,441
19,48,1013,68,452
11,36,1019,60,472
14,43,1013,88,472
23,60,1018,68,447
26,77,1009,93,431
12,45,1019,76,469
30,75,1005,56,439
22,60,1017,93,444
23,73,1010,88,437
21,52,1008,79,447
14,42,1018,91,466
10,36,1019,66,475
8,39,1018,68,480
11,42,1020,67,479
29,72,1013,72,435
22,48,1015,67,448
11,44,1012,88,473
19,51,1009,88,447
15,42,1017,72,463
27,72,1007,73,435
17,44,1016,72,466
9,44,1015,90,482
6,36,1023,85,486
12,40,1008,73,475
10,41,1021,89,479
30,68,1007,31,433
23,59,1007,86,441
22,61,1018,82,444
11,45,1013,82,471
18,50,1010,100,451
31,70,1004,64,438
17,46,1010,98,458
30,68,1010,66,427
26,74,1006,85,433
22,65,1017,54,448
18,45,1010,54,458
27,57,1014,64,443
30,70,1010,62,438
11,42,1019,87,473
20,54,1012,89,457
26,76,1017,76,435
13,54,1018,82,471
24,71,1010,59,437
8,36,1015,73,478
23,59,1014,55,452
13,39,1023,77,472
13,44,1007,85,466
7,41,1023,88,484
30,68,1011,51,430
13,44,1023,71,466
19,42,1001,100,457
27,74,1005,94,431
16,45,1016,60,467
30,57,1006,57,433
10,40,1018,89,484
18,40,1007,72,462
8,39,1015,78,482
28,73,1013,71,427
8,40,1017,48,489
9,39,1025,69,477
24,53,1006,49,440
14,38,1015,55,464
6,36,1020,80,480
24,62,1011,80,431
25,70,1000,88,436
6,38,1021,74,491
19,59,1019,88,448
15,39,1016,76,465
19,58,1020,75,459
20,40,1006,63,460
9,42,1011,85,481
7,44,1018,74,481
19,47,1010,75,441
5,43,1013,95,482
9,40,1025,75,471
9,39,1020,84,480
19,63,1021,82,456
28,68,1005,57,431
26,70,1008,83,441
24,64,1019,59,443
17,51,1015,97,456
25,64,1019,53,442
